date,ticker,company_name,Close,sentiment,sentiment_source,return_1d,momentum,volatility,score,signal,confidence,article_count
2024-03-27,AAPL,Apple,173.30999755859375,0.0,default,,,,0.0,HOLD,0.0,0
2024-03-28,AAPL,Apple,171.47999572753906,0.0,default,-0.010559124440792766,,,-0.0026397811101981916,HOLD,0.0,0
2024-04-01,AAPL,Apple,170.02999877929688,0.0,default,-0.008455779008450959,,,-0.0021139447521127397,HOLD,0.0,0
2024-04-02,AAPL,Apple,168.83999633789062,0.0,default,-0.006998779332762939,,,-0.0017496948331907347,HOLD,0.0,0
2024-04-03,AAPL,Apple,169.64999389648438,0.0,default,0.004797427008780275,,,0.0011993567521950688,HOLD,0.0,0
2024-04-04,AAPL,Apple,168.82000732421875,0.0,default,-0.00489234660846527,-4.489990234375,0.005970694208412822,-0.6747216218083664,SELL,0.0,0
2024-04-05,AAPL,Apple,169.5800018310547,0.0,default,0.004501803541427263,-1.899993896484375,0.006389238711080226,-0.28387363358729945,SELL,0.0,0
2024-04-08,AAPL,Apple,168.4499969482422,0.0,default,-0.0066635503633162285,-1.5800018310546875,0.005988943077422134,-0.23866616224903217,SELL,0.0,0
2024-04-09,AAPL,Apple,169.6699981689453,0.0,default,0.007242512572309456,0.8300018310546875,0.006306777223834188,0.1263109028012805,HOLD,0.0,0
2024-04-10,AAPL,Apple,167.77999877929688,0.0,default,-0.01113926687125033,-1.8699951171875,0.007764619042463941,-0.28328408429593754,SELL,0.0,0
2024-04-11,AAPL,Apple,175.0399932861328,0.0,default,0.04327091762818491,6.2199859619140625,0.021427936889029026,0.9438156236941555,BUY,0.0,0
2024-04-12,AAPL,Apple,176.5500030517578,0.0,default,0.00862665575607413,6.970001220703125,0.02136573017166403,1.0476568470444871,BUY,0.0,0
2024-04-15,AAPL,Apple,172.69000244140625,0.0,default,-0.021863497839872292,4.2400054931640625,0.024822919762411813,0.6305349495146413,BUY,0.0,0
2024-04-16,AAPL,Apple,169.3800048828125,0.0,default,-0.019167279586534414,-0.2899932861328125,0.027001190088636166,-0.04829081281655548,HOLD,0.0,0
2024-04-17,AAPL,Apple,168.0,0.0,default,-0.008147389556206863,0.220001220703125,0.02672587495670898,0.03096333571641703,HOLD,0.0,0
