Date,Open,High,Low,Close,Volume,return_1d,return_5d,moving_avg_5,moving_avg_10,momentum,volatility,ticker,company_name
2024-03-27,170.41000366210938,173.60000610351562,170.11000061035156,173.30999755859375,60273300,,,,,,,AAPL,Apple
2024-03-28,171.75,172.22999572753906,170.50999450683594,171.47999572753906,65672700,-0.010559124440792766,,,,,,AAPL,Apple
2024-04-01,171.19000244140625,171.25,169.47999572753906,170.02999877929688,46240500,-0.008455779008450959,,,,,,AAPL,Apple
2024-04-02,169.0800018310547,169.33999633789062,168.22999572753906,168.83999633789062,49329500,-0.006998779332762939,,,,,,AAPL,Apple
2024-04-03,168.7899932861328,170.67999267578125,168.5800018310547,169.64999389648438,47691700,0.004797427008780275,,170.66199645996093,,,,AAPL,Apple
2024-04-04,170.2899932861328,171.9199981689453,168.82000732421875,168.82000732421875,53704400,-0.00489234660846527,-0.02590727769675838,169.76399841308594,,-4.489990234375,0.005970694208412822,AAPL,Apple
2024-04-05,169.58999633789062,170.38999938964844,168.9499969482422,169.5800018310547,42104800,0.004501803541427263,-0.01107997401343086,169.38399963378907,,-1.899993896484375,0.006389238711080226,AAPL,Apple
2024-04-08,169.02999877929688,169.1999969482422,168.24000549316406,168.4499969482422,37425500,-0.0066635503633162285,-0.009292488633759088,169.06799926757813,,-1.5800018310546875,0.005988943077422134,AAPL,Apple
2024-04-09,168.6999969482422,170.0800018310547,168.35000610351562,169.6699981689453,42373800,0.007242512572309456,0.004915907658477048,169.23399963378907,,0.8300018310546875,0.006306777223834188,AAPL,Apple
2024-04-10,168.8000030517578,169.08999633789062,167.11000061035156,167.77999877929688,49709300,-0.01113926687125033,-0.01102266539619512,168.86000061035156,169.76099853515626,-1.8699951171875,0.007764619042463941,AAPL,Apple
2024-04-11,168.33999633789062,175.4600067138672,168.16000366210938,175.0399932861328,91070300,0.04327091762818491,0.036843891079619384,170.10399780273437,169.93399810791016,6.2199859619140625,0.021427936889029026,AAPL,Apple
2024-04-12,174.25999450683594,178.36000061035156,174.2100067138672,176.5500030517578,101670900,0.00862665575607413,0.04110155174810681,171.497998046875,170.44099884033204,6.970001220703125,0.02136573017166403,AAPL,Apple
2024-04-15,175.36000061035156,176.6300048828125,172.5,172.69000244140625,73531800,-0.021863497839872292,0.02517070685650924,172.34599914550782,170.70699920654297,4.2400054931640625,0.024822919762411813,AAPL,Apple
2024-04-16,171.75,173.75999450683594,168.27000427246094,169.3800048828125,73711200,-0.019167279586534414,-0.0017091606604725529,172.28800048828126,170.76100006103516,-0.2899932861328125,0.027001190088636166,AAPL,Apple
2024-04-17,169.61000061035156,170.64999389648438,168.0,168.0,50901200,-0.008147389556206863,0.0013112481958741373,172.33200073242188,170.59600067138672,0.220001220703125,0.02672587495670898,AAPL,Apple
2024-04-18,168.02999877929688,168.63999938964844,166.5500030517578,167.0399932861328,43122900,-0.0057143256777808515,-0.04570384087551138,170.73200073242188,170.41799926757812,-8.0,0.01215261572375663,AAPL,Apple
2024-04-19,166.2100067138672,166.39999389648438,164.0800018310547,165.0,68149400,-0.012212603975853775,-0.06542057690235092,168.4220001220703,169.95999908447266,-11.550003051757812,0.00694549343160389,AAPL,Apple
2024-04-22,165.52000427246094,167.25999450683594,164.77000427246094,165.83999633789062,48116400,0.005090886896306879,-0.03966648912313164,167.0519989013672,169.6989990234375,-6.850006103515625,0.008931222947142691,AAPL,Apple
2024-04-23,165.35000610351562,167.0500030517578,164.9199981689453,166.89999389648438,49537800,0.006391688265803275,-0.014641698635231126,166.55599670410157,169.4219985961914,-2.480010986328125,0.008251790408915351,AAPL,Apple
2024-04-24,166.5399932861328,169.3000030517578,166.2100067138672,169.02000427246094,48251800,0.012702279529689164,0.006071454002743781,166.75999755859374,169.5459991455078,1.0200042724609375,0.010026061068469065,AAPL,Apple
2024-04-25,169.52999877929688,170.61000061035156,168.14999389648438,169.88999938964844,50558300,0.005147290824730311,0.017061818834209763,167.3299987792969,169.03099975585937,2.850006103515625,0.009289042896355952,AAPL,Apple
2024-04-26,169.8800048828125,171.33999633789062,169.17999267578125,169.3000030517578,44838400,-0.003472813820767917,0.026060624556107914,168.18999938964845,168.30599975585938,4.3000030517578125,0.005764823176957406,AAPL,Apple
2024-04-29,173.3699951171875,176.02999877929688,173.10000610351562,173.5,68169400,0.024808014604454476,0.046189121027852,169.7220001220703,168.38699951171876,7.660003662109375,0.010497041024274713,AAPL,Apple
2024-04-30,173.3300018310547,174.99000549316406,170.0,170.3300018310547,65934800,-0.01827088281812861,0.02055127657283018,170.4080017089844,168.48199920654298,3.4300079345703125,0.01629177358787976,AAPL,Apple
2024-05-01,169.5800018310547,172.7100067138672,169.11000061035156,169.3000030517578,50383100,-0.006047077838456816,0.001656601421246684,170.46400146484376,168.61199951171875,0.279998779296875,0.015995686119800796,AAPL,Apple
2024-05-02,172.50999450683594,173.4199981689453,170.88999938964844,173.02999877929688,94214900,0.02203187040935095,0.0184825440045282,171.09200134277344,169.21100006103515,3.1399993896484375,0.01877977585778865,AAPL,Apple
2024-05-03,186.64999389648438,187.0,182.66000366210938,183.3800048828125,163224100,0.05981625253732603,0.08316598687095245,173.9080017089844,171.04900054931642,14.080001831054688,0.03038627241219732,AAPL,Apple
2024-05-06,182.35000610351562,184.1999969482422,180.4199981689453,181.7100067138672,78569700,-0.009106762593950823,0.04731992342286562,175.5500030517578,172.63600158691406,8.210006713867188,0.03181095600574542,AAPL,Apple
2024-05-07,183.4499969482422,184.89999389648438,181.32000732421875,182.39999389648438,77305800,0.0037971886914498487,0.07086239614675494,177.96400146484376,174.18600158691407,12.069992065429688,0.028299720829363592,AAPL,Apple
2024-05-08,182.85000610351562,183.07000732421875,181.4499969482422,182.74000549316406,45057100,0.0018640987283840005,0.07938571883721357,180.652001953125,175.55800170898436,13.44000244140625,0.0270869847748148,AAPL,Apple
2024-05-09,182.55999755859375,184.66000366210938,182.11000061035156,184.57000732421875,48983000,0.01001423758369735,0.06669368679613408,182.9600036621094,177.0260025024414,11.540008544921875,0.026915151917934265,AAPL,Apple
2024-05-10,184.89999389648438,185.08999633789062,182.1300048828125,183.0500030517578,50759500,-0.008235380680192916,-0.0017995518718934012,182.89400329589844,178.4010025024414,-0.3300018310546875,0.008191116483860169,AAPL,Apple
2024-05-13,185.44000244140625,187.10000610351562,184.6199951171875,186.27999877929688,72044800,0.017645428427694565,0.025149919633352447,183.80800170898436,179.6790023803711,4.5699920654296875,0.009637218318911952,AAPL,Apple
2024-05-14,187.50999450683594,188.3000030517578,186.2899932861328,187.42999267578125,52393600,0.006173469529849429,0.02757674861629389,184.81400146484376,181.38900146484374,5.029998779296875,0.009620596438357927,AAPL,Apple
2024-05-15,187.91000366210938,190.64999389648438,187.3699951171875,189.72000122070312,70400000,0.012217940748059153,0.03819632000503681,186.21000061035156,183.43100128173828,6.9799957275390625,0.009757715268010376,AAPL,Apple
2024-05-16,190.47000122070312,191.10000610351562,189.66000366210938,189.83999633789062,52845200,0.000632485327932919,0.028552791919298715,187.26399841308594,185.11200103759765,5.269989013671875,0.01006571721574617,AAPL,Apple
2024-05-17,189.50999450683594,190.80999755859375,189.17999267578125,189.8699951171875,41282900,0.00015802138577525326,0.0372575359285916,188.62799682617188,185.76100006103516,6.8199920654296875,0.007548597235210564,AAPL,Apple
2024-05-20,189.3300018310547,191.9199981689453,189.00999450683594,191.0399932861328,44361300,0.006162101432736655,0.025552901750206303,189.57999572753906,186.69399871826172,4.7599945068359375,0.0049326070869272305,AAPL,Apple
2024-05-21,191.08999633789062,192.72999572753906,190.9199981689453,192.35000610351562,42309400,0.006857270013722827,0.02624987259240341,190.56399841308593,187.68899993896486,4.920013427734375,0.0049801420475736715,AAPL,Apple
2024-05-22,192.27000427246094,192.82000732421875,190.27000427246094,190.89999389648438,34648500,-0.0075384047882530725,0.006219653532515856,190.79999694824218,188.50499877929687,1.17999267578125,0.005796117788172543,AAPL,Apple
2024-05-23,190.97999572753906,191.0,186.6300048828125,186.8800048828125,51005900,-0.021058088749084547,-0.015592032828581237,190.20799865722657,188.73599853515626,-2.959991455078125,0.011594605772425569,AAPL,Apple
2024-05-24,188.82000732421875,190.5800018310547,188.0399932861328,189.97999572753906,36327000,0.016588135507972,0.0005793469909960436,190.22999877929686,189.4289978027344,0.1100006103515625,0.014664805697905178,AAPL,Apple
2024-05-28,191.50999450683594,193.0,189.10000610351562,189.99000549316406,52280100,5.268852431883353e-05,-0.005496167451158329,190.02000122070314,189.79999847412108,-1.04998779296875,0.014293906750725905,AAPL,Apple
2024-05-29,189.61000061035156,192.25,189.50999450683594,190.2899932861328,53068000,0.0015789661787211084,-0.010709710174244491,189.60799865722657,190.08599853515625,-2.0600128173828125,0.01375134178940681,AAPL,Apple
2024-05-30,190.75999450683594,192.17999267578125,190.6300048828125,191.2899932861328,49889100,0.005255137081729533,0.002042951294487283,189.68599853515624,190.2429977416992,0.3899993896484375,0.013670712268457804,AAPL,Apple
2024-05-31,191.44000244140625,192.57000732421875,189.91000366210938,192.25,75158300,0.005018593484036549,0.02873499024443449,190.75999755859374,190.48399810791017,5.3699951171875,0.006482452293681554,AAPL,Apple
2024-06-03,192.89999389648438,194.99000549316406,192.52000427246094,194.02999877929688,50080500,0.009258771283728873,0.021318050020203927,191.56999816894532,190.8999984741211,4.0500030517578125,0.0035860562512419125,AAPL,Apple
2024-06-04,194.63999938964844,195.32000732421875,193.02999877929688,194.35000610351562,47471400,0.0016492672588364066,0.022948578789890206,192.44199829101564,191.2309997558594,4.3600006103515625,0.0031674356549638754,AAPL,Apple
2024-06-05,195.39999389648438,196.89999389648438,194.8699951171875,195.8699951171875,54156800,0.007820884826019947,0.029323674538493494,193.55799865722656,191.58299865722657,5.5800018310546875,0.00292331690447581,AAPL,Apple
2024-06-06,195.69000244140625,196.5,194.1699981689453,194.47999572753906,41181800,-0.007096540686677422,0.016676264066958435,194.1959991455078,191.94099884033204,3.19000244140625,0.006513588420702803,AAPL,Apple
2024-06-07,194.64999389648438,196.94000244140625,194.13999938964844,196.88999938964844,53103900,0.012392038847459208,0.024135237397391096,195.1239990234375,192.94199829101564,4.6399993896484375,0.007715246564235737,AAPL,Apple
2024-06-10,196.89999389648438,197.3000030517578,192.14999389648438,193.1199951171875,97010200,-0.019147769232301326,-0.004690015295750638,194.94199829101564,193.25599822998046,-0.910003662109375,0.012555937954592996,AAPL,Apple
2024-06-11,193.64999389648438,207.16000366210938,193.6300048828125,207.14999389648438,172373300,0.07264912559045644,0.06586049596597987,197.5019958496094,194.9719970703125,12.79998779296875,0.035433168192109676,AAPL,Apple
2024-06-12,207.3699951171875,220.1999969482422,206.89999389648438,213.07000732421875,198134300,0.02857839054869915,0.08781341009755272,200.94199829101564,197.2499984741211,17.20001220703125,0.035840946375528614,AAPL,Apple
2024-06-13,214.74000549316406,216.75,211.60000610351562,214.24000549316406,97862700,0.005491144359726752,0.10160433052100748,204.8940002441406,199.5449996948242,19.760009765625,0.03408245419480805,AAPL,Apple
2024-06-14,213.85000610351562,215.1699981689453,211.3000030517578,212.49000549316406,70122700,-0.008168409051202308,0.07923208975506646,208.01400146484374,201.56900024414062,15.600006103515625,0.036390869934640795,AAPL,Apple
2024-06-17,213.3699951171875,218.9499969482422,212.72000122070312,216.6699981689453,93728300,0.019671478976528656,0.12194492360807785,212.7240020751953,203.83300018310547,23.550003051757812,0.030753808725278928,AAPL,Apple
2024-06-18,217.58999633789062,218.6300048828125,213.0,214.2899932861328,79943300,-0.010984469021671939,0.03446777504235121,214.152001953125,205.82699890136718,7.1399993896484375,0.01718980654473893,AAPL,Apple
2024-06-20,213.92999267578125,214.24000549316406,208.85000610351562,209.67999267578125,86172500,-0.021512906597537684,-0.015910332434912244,213.4739990234375,207.20799865722657,-3.3900146484375,0.01596274385579595,AAPL,Apple
2024-06-21,210.38999938964844,211.88999938964844,207.11000061035156,207.49000549316406,241805100,-0.010444426073609514,-0.03150672062606619,212.1239990234375,208.50899963378907,-6.75,0.015399358480888463,AAPL,Apple
